Artikelnummer;Bezeichnung;Verkauft1;Verkauft2;Verkauft3;Verkauft4
MF-10055;Samsung INR18650 30Q 3000mAh 3,6V Flat Top;1;21;37;13
MF-10093;Aspire Nautilus BVC Verdampferkopf (5er Packung), 1,8;76;38;68;45
MF-10093.1;Aspire Nautilus BVC Verdampferkopf (5er Packung), 1,6;17;4;21;13
MF-10093.2;Aspire Nautilus BVC Verdampferkopf (5er Packung), 0,7;29;10;47;16
MF-10093.3;Aspire Nautilus BVC Verdampferkopf (5er Packung), 0,3 Ohm Mesh Coil;4;5;14;5
MF-10093.4;Aspire Nautilus BVC Verdampferkopf (5er Packung), 1,0 Ohm Mesh Coil;29;10;22;9
MF-10173.1;Justfog C14 / Q16 / S14 Verdampferköpfe (5er Pack), 1,6;8;82;36;2
MF-10320.1;Smoker Anarchy® Vape Band, Weiß;1;2;3;
MF-11331;Sony Konion US18650VTC5A 2600 mAh 35A;38;26;51;15
MF-11542;Heisenberg - Vampire Vape Aroma 30ml;110;64;47;52
MF-11543;Pinkman - Vampire Vape Aroma 30ml;81;26;38;23
MF-11699;Cotton Bacon XL V2 by Wick'n'Vape;34;38;32;24
MF-11773;Pink Cat - Copy Cat Aroma 10ml;189;107;162;158
MF-11777;Astral Cat - Copy Cat Aroma 10ml;33;456;133;263
MF-11834;Unicorn Signature Flasche von Chubby Gorilla 60ml, Schwarz;65;19;12;45
MF-11834.1;Unicorn Signature Flasche von Chubby Gorilla 60ml, Transparent;54;14;20;
MF-11918;Strudel Cat - Copy Cat Aroma 10ml;318;261;156;123
MF-12093;Puff Cat - Copy Cat Aroma 10ml;244;55;111;568
MF-12096;Motzy on the Wall - Copy Cat Aroma 10ml, 10ml;265;4;174;317
MF-12189;Sony Konion US18650VTC6 3120mAh 30A;52;80;101;34
MF-12203;Cactus Cat - Copy Cat Aroma 10ml;278;9;320;216
MF-12431;Fantasy Cat - Copy Cat Aroma, 10ml;2183;274;1074;82
MF-12464;RED LION - Dampflion Aroma 10ml;2610;377;2250;1581
MF-12466;GREEN LION - Dampflion Aroma 10ml;1448;617;386;3201
MF-12571;Bubble Cat - Copy Cat Aroma 10ml;3;;1050;2
MF-12572;Vanilla Cat - Copy Cat Aroma 10ml;32;69;263;156
MF-12577;Suizid Cat - Copy Cat Aroma 10ml;966;24;116;306
MF-12580;Crumble Cat - Copy Cat Aroma 10ml, 10ml;110;98;140;231
